row,review_text,bugs_crashes,performance,ui_controls,opacity_teaching,tedium_grind,monetization_dlc,unfinished_abandoned,update_regression,npc_ai_pathing,shallow_repetitive,procgen_hollow,rng_unfair,difficulty_punishing,developer_conduct,taste_mismatch,non_substantive
4,"I just crossed the 100 hour mark. I tried, I really tried, but there just isn't enough reward in this game. No matter how many trained people I get, I just get wrecked in the next biome. So many interesting core concepts, but it just isn't fun. What is the point here?!?",,,,,,,,,,,,,,,,
7,This game was a grind to get through for me. I only cared for maybe 4/15 spirits. Also the boat building was lacklaster.,,,,,,,,,,,,,,,,
15,"Don't play this game, you may get addicted to the tactical and strategic gameplay, but at this moment the RPG, economic, war and cultural gameplay has been curtailed for the sake of CONTENT!",,,,,,,,,,,,,,,,
18,"I really really wish I could recommend this game, I think it's very interesting and such a cool sandbox. I'm not particularly bothered by the amount of content as some other reviewers are since to me it has more than enough to keep the sandbox engaging and that's all I really need in a game like this. More variety would be nice, but not at all the issue I have with Shadows of Doubt. The game just doesn't perform well at all. I've played it on a handful of PCs and even after upgrading to an RTX card to deal with the forced ray tracing here it's always the same. If your game struggles to meet a stable 30 fps on a modern gaming rig while running at 640x480 resolution on the lowest settings available, something is fundamentally wrong with it. Indoors the game does better, but unless you're like me and are occasionally willing to cap the frame rate to 24 @ 800x600 to make it an ""analog cinematic experience"", it's gonna be a very rough ride. (I'd have stuck with 640x480, but none of the UI scales so everything below 800x600 is totally illegible.)",,,,,,,,,,,,,,,,
25,"The animation is great. The combat is ho-hum. Many game systems are terrible, and the story leaves much to be desired. Finishing the first Chapter and having a unit permanently blinded and de-buffed as a reward... what? Being given choices, and both of them are negative, but one is more negative. Forcing your characters into retirement? There are many far better games to pick than this one.",,,,,,,,,,,,,,,,
27,I've played 553 hours in the past 61 days and PARADOX KILLED THIS GAME WITH THE LAST UPDATE. The big navy update that was recently added has introduced a ton of bugs and exploits to the game completely imbalancing it. Hopefully they revert the changes or modders can revert them but the game state is EXTREMELY BAD RIGHT NOW DO NOT BUY IT AT ALL.,,,,,,,,,,,,,,,,
33,"I started a town 6 times and the people died out from under me to the point where the society stalled. They died of freezing in the summer. They died of starvation while harvesting full fields of food. All efforts to feed the little bas**rds had no effect. It's a fun concept and I was engaged, but I ground down to the easiest level, best weather, and no disasters, and still had societal collapse. I have more important things to fail at.",,,,,,,,,,,,,,,,
36,I can't condone Paradox's business practices and milking customers with endless addons.,,,,,,,,,,,,,,,,
42,The money this franchise owes me..............,,,,,,,,,,,,,,,,
46,Victoria 3,,,,,,,,,,,,,,,,
