row,recommendationid,review_text,bugs_crashes,developer_conduct,difficulty_punishing,monetization_dlc,npc_ai_pathing,opacity_teaching,performance,procgen_hollow,rng_unfair,shallow_repetitive,taste_mismatch,tedium_grind,ui_controls,unfinished_abandoned,update_regression,non_substantive
1,229409834,"This latest edition to the paradox library proves that the best time to purchase a paradox product is on sale, after development has ended.",,,,,,,,,,,,,,,,
2,226378555,"I played ""Spiritfarer"" for 6 hours and dropped it. Even though the story is nice, the repetite and grindy management makes it annoying and boring. Would be better as a short Visual Novel with some click and point mechanic. I'm sad. I really wanted to like it after seeeing the nice visuals, the nice story idea and the good reviews. But it just doesn't fit my taste. 4/10 boring.",,,,,,,,,,,,,,,,
3,213775097,"time consuming, poor interface, games run worse on Steam than standalone.",,,,,,,,,,,,,,,,
4,229654561,"I just crossed the 100 hour mark. I tried, I really tried, but there just isn't enough reward in this game. No matter how many trained people I get, I just get wrecked in the next biome. So many interesting core concepts, but it just isn't fun. What is the point here?!?",,,,,,,,,,,,,,,,
5,197611891,"A laughable, yet sad, reskin of the basic concepts of Anno 1602.",,,,,,,,,,,,,,,,
6,227110669,"Features some very strange design choices... There's a lot of well founded reviews that points out the poorer aspects of this game, so I won't really bother to elaborate further.",,,,,,,,,,,,,,,,
7,222208545,This game was a grind to get through for me. I only cared for maybe 4/15 spirits. Also the boat building was lacklaster.,,,,,,,,,,,,,,,,
8,225336913,This game makes me think of game of thrones and how game of thrones isn't ♥♥♥♥ but this game is ♥♥♥♥?,,,,,,,,,,,,,,,,
9,224496808,"Theme able spreadsheet with bugs (nice to read NULL on stuff). Ideologies, etc. are number buffs/debuffs. While it has a great number of variables and numbers to change and numbers affecting other numbers it's really just that and very deterministic which means it cannot live up to simulating real socio-economy, butterfly effects. This makes it feel like highly naive take on economics, politics and sociology. Another perspective where this is highly visible is the tech tree. Three categories where the connections feel random and like just a very forced way of balanced progression. To give more examples, there is a ""standard of living"" that just instantly increases/decreases for everyone and things that are a ""minimum requirement"" that other actions lower/increase instantly, like editing a spreadsheet. Everything is also an on/off switch. Buff/debuff support for a group, You click on ""Collectivize Agriculture"" and the hivemind of your population even in the most remote area magically instantly applies it 100%, as if the research were ""invent a magical button"". And all of them. No matter how much they like your government, no matter their ideology, or how close they are to starting a revolution. That said though, if you really are into deterministic spreadsheet style games, number optimization and so on this game might still be for you. Those things are fine, but maybe don't call it a simulation of politics/history and don't pretend that you are simulating all of your population or something. Politics, history, etc. are more complex. Even adding a bit more RNG would probably do a better job. Right now it seems to just randomly be thrown into law making which feels quite an odd place and sometimes very odd when you have a quite authoritarian government. Doesn't seem to be the place where a decision should drag on for months based on dice rolls.",,,,,,,,,,,,,,,,
10,228368907,"Big fan of colony sims - the more complex the better. But I can't recommend this one. The UI and quality of life features in this game are horrible.. like punch me in the face horrible, The amount of duplicate configurations and layouts required to get your supply chains up and running is incredibly tedious. But maybe that's the appeal.. maybe all the overwhelming ratings are because people just love clicking through badly designed menus over and over again.",,,,,,,,,,,,,,,,
11,216065723,"I hate platformer games, and I would never have waste so many hours on this if I knew Daria's gameplay would turn into performance style. This game to me is marketed as cozy and chill so I feel cheated and lied to, wasted my time.",,,,,,,,,,,,,,,,
12,224558540,I didn't really like the game play of this game. I would not recommend,,,,,,,,,,,,,,,,
13,228995398,"The game is quite mid actually. The writing is atrocious at times and some of the mechanics are not expanded enough to make them fun. I honestly mainly kept playing because, I expected more from the game, but it would seem that after 14/19 hours you are doing all the same things on repeat. I loved the idea of the game and I wish it was better executed. I hope the second game will be better.",,,,,,,,,,,,,,,,
14,209737375,"Low on features, but high on potential. But until/unless the optimization is fixed I cannot recommend it. The game collapses down to frames per minute after getting to the mid game. Update:1.0 is here and the game still runs like a paper boy with polio.",,,,,,,,,,,,,,,,
